City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
203,Wukari,NG,82.78,overcast clouds,7.85,9.7833,Elimtop
207,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
211,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
213,Wete,TZ,77.07,light rain,-5.0559,39.7294,Sharook Riviera Grand Lodge
215,Doka,SD,78.71,light rain,13.5167,35.7667,Um Rakuba Refugee Camp
221,Hilo,US,81.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
222,Nishihara,JP,76.68,overcast clouds,26.1842,127.7558,Minshuku Agaihama
223,Takoradi,GH,80.17,broken clouds,4.8845,-1.7554,Raybow International Hotel
226,Bahraich,IN,80.49,clear sky,27.5833,81.6,Narain Guest House
231,Buchanan,LR,78.42,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
232,Shwebo,MM,89.06,clear sky,22.5667,95.7,MOON SHINE Guest House
240,Kerouane,GN,80.65,overcast clouds,9.2667,-9.0167,Hotel Seka Seka
242,Thayetmyo,MM,85.26,clear sky,19.3167,95.1833,Htarwaya Thitsar Guest House
245,Kloulklubed,PW,82.9,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
248,Fountain,US,75.42,dust,38.6822,-104.7008,Colorado Springs KOA Holiday
250,Labrea,BR,76.86,heavy intensity rain,-7.2586,-64.7981,Hotel Novo Horizonte
251,Canalete,CO,77.86,overcast clouds,8.6761,-76.2042,Gomez Hernandez
254,Kpandu,GH,77.18,scattered clouds,6.9954,0.2931,Emo House
256,Hobyo,SO,82.74,broken clouds,5.3505,48.5268,Iftin hotel hobyo
257,Kotaparh,IN,79.97,clear sky,19.15,82.35,Atul Pattnaik
264,Sri Aman,MY,80.65,few clouds,1.2376,111.4621,Seri Simanggang Hotel
276,San Patricio,US,77.18,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
283,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
289,Pilar,BR,75.13,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
290,Iralaya,HN,77.94,few clouds,15.0,-83.2333,Iglesia morava renovada
295,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
298,Bundaberg,AU,81.21,broken clouds,-24.85,152.35,Takalvan Motel
299,Arlit,NE,85.1,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
300,Amalapuram,IN,79.72,broken clouds,16.5833,82.0167,swayamprabha service apartments
306,San Policarpo,PH,83.1,few clouds,12.1791,125.5072,Agapita M. Nicart
311,Karratha,AU,87.46,clear sky,-20.7377,116.8463,ibis Styles Karratha
314,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
317,Noumea,NC,82.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
327,Kieta,PG,83.3,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
328,Iberia,US,75.27,overcast clouds,29.9502,-91.7507,back to back rv park
329,Sassandra,CI,78.12,scattered clouds,4.95,-6.0833,la terrasse
333,Vao,NC,75.18,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
341,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
350,Meulaboh,ID,79.61,overcast clouds,4.1363,96.1285,Kost Pria
353,Sinnamary,GF,75.56,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
354,Kawalu,ID,78.48,overcast clouds,-7.3817,108.2082,West Jontor
355,Carepa,CO,80.38,scattered clouds,7.7585,-76.6525,HOTEL EL EDÉN
357,Lufkin,US,75.83,clear sky,31.3382,-94.7291,Courtyard by Marriott Lufkin
361,Omboue,GA,77.9,light rain,-1.5746,9.2618,Hotel Olako
363,Belmonte,BR,76.98,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
367,Oranjestad,AW,80.55,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
369,Shimoda,JP,75.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
