City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
208,Khandbari,NP,2022-04-13 02:06:00,27.3747,87.2039,72.91,75,49,2.84
209,Ampanihy,MG,2022-04-13 02:06:01,-24.7,44.75,71.28,73,22,6.93
210,Otofuke,JP,2022-04-13 02:06:01,42.9917,143.2003,44.46,71,100,6.51
211,Batemans Bay,AU,2022-04-13 02:06:02,-35.7167,150.1833,67.1,54,0,5.86
212,Puri,IN,2022-04-13 02:06:02,19.8,85.85,82.92,83,34,20.98
213,Tuktoyaktuk,CA,2022-04-13 02:06:03,69.4541,-133.0374,19.11,88,80,10.33
214,Latung,PH,2022-04-13 02:06:03,5.5,120.8833,81.64,78,99,6.85
215,Port Elizabeth,ZA,2022-04-13 02:03:19,-33.918,25.5701,63.32,98,37,1.99
216,Kambove,CD,2022-04-13 02:06:04,-10.8764,26.5969,59.32,98,36,3.62
217,San Cristobal,VE,2022-04-13 02:06:04,7.7669,-72.225,75.38,84,54,2.06
218,Sharanga,RU,2022-04-13 02:06:05,57.1775,46.5396,41.67,94,94,5.66
219,Broome,US,2022-04-13 02:06:06,42.2506,-75.833,50.63,59,98,1.99
220,Yangliuqing,CN,2022-04-13 02:06:06,39.1375,116.9997,57.15,18,100,10.56
221,Bow Island,CA,2022-04-13 02:06:06,49.8668,-111.3684,20.48,51,100,15.03
222,Chistogorskiy,RU,2022-04-13 02:06:07,53.9835,87.3843,34.29,73,82,3.42
223,Uribia,CO,2022-04-13 02:06:08,11.7139,-72.266,79.92,73,69,19.57
224,Neiafu,TO,2022-04-13 02:06:08,-18.65,-173.9833,86.68,74,40,8.05
225,Sioux Lookout,CA,2022-04-13 02:06:08,50.1001,-91.917,28.35,94,100,3.91
226,Maine-Soroa,NE,2022-04-13 02:06:09,13.2114,12.0241,82.98,43,9,5.14
227,Khabary,RU,2022-04-13 02:07:09,53.6259,79.5345,38.08,64,0,12.97
228,Rabat,MA,2022-04-13 02:07:10,33.9911,-6.8401,58.15,96,75,4.61
229,Bilma,NE,2022-04-13 02:07:10,18.6853,12.9164,81.64,9,3,8.7
230,Magadan,RU,2022-04-13 02:03:18,59.5667,150.8,29.53,53,52,3.87
231,Rio Gallegos,AR,2022-04-13 02:07:11,-51.6226,-69.2181,41.05,75,20,11.5
232,Verkhnevilyuysk,RU,2022-04-13 02:07:11,63.4453,120.3167,26.33,85,100,2.84
233,Bantry,IE,2022-04-13 02:07:12,51.6833,-9.45,45.79,92,35,2.19
234,Bethel,US,2022-04-13 02:07:12,41.3712,-73.414,58.8,62,0,3.44
235,Diego De Almagro,CL,2022-04-13 02:07:13,-26.3667,-70.05,57.99,44,0,1.19
236,Poum,NC,2022-04-13 02:07:13,-20.2333,164.0167,78.58,65,0,12.44
237,Lake Havasu City,US,2022-04-13 02:06:37,34.4839,-114.3224,66.81,3,0,17.27
238,Havre-Saint-Pierre,CA,2022-04-13 02:07:14,50.2334,-63.5986,32.36,100,100,3.44
239,La Romana,DO,2022-04-13 02:07:14,18.4273,-68.9728,75.56,88,40,6.91
240,Garowe,SO,2022-04-13 02:05:20,8.4054,48.4845,73.35,89,17,4.54
241,Comacchio,IT,2022-04-13 02:07:15,44.6975,12.1858,54.0,75,100,5.82
242,Pervomayskiy,RU,2022-04-13 02:07:15,53.2485,40.2871,49.96,87,100,7.49
243,Mufulira,ZM,2022-04-13 02:07:16,-12.5498,28.2407,59.58,98,14,3.89
244,Ribeira Grande,PT,2022-04-13 02:07:17,38.5167,-28.7,62.37,80,100,24.63
245,Wabana,CA,2022-04-13 02:07:17,47.6332,-52.9481,37.08,86,99,22.88
246,Ancud,CL,2022-04-13 02:07:17,-41.8697,-73.8203,48.99,84,100,2.57
247,Qingyuan,CN,2022-04-13 02:07:18,23.7,113.0333,78.78,64,61,7.63
248,Constantine,DZ,2022-04-13 02:07:19,36.365,6.6147,58.41,54,0,4.61
