City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Evensk,RU,61.95,159.2333,25.39,75,36,0.78,scattered clouds
131,Anloga,GH,5.7947,0.8973,81.45,79,15,8.01,few clouds
132,Muswellbrook,AU,-32.2667,150.9,67.66,56,29,11.3,scattered clouds
133,Dungarvan,IE,52.0881,-7.6253,49.55,81,31,11.01,scattered clouds
134,Vostok,RU,46.4856,135.8833,36.21,82,94,7.16,overcast clouds
135,Konya,TR,38.1667,32.5,45.88,43,0,2.64,clear sky
136,Saskylakh,RU,71.9167,114.0833,2.48,96,100,4.38,overcast clouds
137,Turan,VN,16.0678,108.2208,82.38,74,0,4.61,clear sky
138,Salalah,OM,17.0151,54.0924,80.69,78,0,3.44,clear sky
139,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.78,75,75,11.18,broken clouds
140,Hamilton,US,39.1834,-84.5333,71.44,64,0,5.75,clear sky
141,Leningradskiy,RU,69.3833,178.4167,21.0,91,86,4.81,overcast clouds
142,Kodiak,US,57.79,-152.4072,42.31,81,75,11.5,broken clouds
143,Taoudenni,ML,22.6783,-3.9836,76.87,10,99,9.95,overcast clouds
144,Laguna,US,38.421,-121.4238,67.75,40,0,8.05,clear sky
145,Tuatapere,NZ,-46.1333,167.6833,59.77,58,16,8.81,few clouds
146,Nemuro,JP,43.3236,145.575,45.82,83,98,25.17,overcast clouds
147,Zermatt,CH,46.0213,7.7491,42.64,97,100,5.44,overcast clouds
148,Baruun-Urt,MN,46.6806,113.2792,47.62,34,99,20.31,overcast clouds
149,Saldanha,ZA,-33.0117,17.9442,57.31,76,0,17.13,clear sky
150,Camacupa,AO,-12.0167,17.4833,55.11,82,100,5.08,overcast clouds
151,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,91,14.67,overcast clouds
152,Maltahohe,NA,-24.8333,16.9833,61.7,43,5,5.66,clear sky
153,Slave Lake,CA,55.2834,-114.769,47.89,59,100,5.01,overcast clouds
154,Caravelas,BR,-17.7125,-39.2481,74.62,81,27,6.06,scattered clouds
